,country_id,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
0,TUR,37.69393,39.3134,327.59,1.55,1.23,2022-07-02,744,Terra,MODIS,59,6.1NRT,313.03,13.29,D
1,TUR,37.51406,39.29136,334.35,1.54,1.22,2022-07-02,744,Terra,MODIS,75,6.1NRT,314.18,29.72,D
2,TUR,37.41825,39.445,328.28,1.51,1.21,2022-07-02,744,Terra,MODIS,31,6.1NRT,312.85,14.04,D
3,TUR,37.28769,39.97133,332.91,1.4,1.17,2022-07-02,744,Terra,MODIS,62,6.1NRT,318.35,14.57,D
4,TUR,37.51511,39.29859,335.62,1.54,1.22,2022-07-02,744,Terra,MODIS,78,6.1NRT,314.53,32.02,D
5,TUR,37.32641,39.48226,343.93,1.5,1.21,2022-07-02,744,Terra,MODIS,86,6.1NRT,314.3,53.2,D
6,TUR,37.32475,39.49905,335.17,1.49,1.21,2022-07-02,744,Terra,MODIS,69,6.1NRT,313.81,26.94,D
7,TUR,37.32422,39.47504,335.42,1.5,1.21,2022-07-02,744,Terra,MODIS,73,6.1NRT,313.91,26.65,D
8,TUR,37.32247,39.49179,340.51,1.49,1.21,2022-07-02,744,Terra,MODIS,81,6.1NRT,315.26,40.81,D
9,TUR,37.28711,39.62099,348.5,1.47,1.2,2022-07-02,744,Terra,MODIS,90,6.1NRT,315.32,65.3,D
10,TUR,37.14558,40.45217,345.3,1.32,1.14,2022-07-02,744,Terra,MODIS,87,6.1NRT,320.58,42.73,D
11,TUR,37.14398,40.46696,333.85,1.32,1.14,2022-07-02,744,Terra,MODIS,66,6.1NRT,318.47,14.64,D
12,TUR,37.13698,40.4357,333.04,1.32,1.14,2022-07-02,744,Terra,MODIS,39,6.1NRT,316.9,11.06,D
13,TUR,37.19619,39.29449,335.5,1.53,1.22,2022-07-02,744,Terra,MODIS,73,6.1NRT,316.3,27.71,D
14,TUR,37.07571,40.25246,341.39,1.35,1.15,2022-07-02,744,Terra,MODIS,82,6.1NRT,318.8,33.14,D
15,TUR,37.02761,39.69343,335.7,1.44,1.19,2022-07-02,744,Terra,MODIS,60,6.1NRT,318.44,22.28,D
16,TUR,37.021,38.403,326.33,1.72,1.29,2022-07-02,744,Terra,MODIS,53,6.1NRT,311.91,17.31,D
